ticket_number,date,time,article,Quantity,unit_price_euro,revenue
151516,1/11/2021,18:02,PAIN AUX RAISINS,1,1.4,1.4
151516,1/11/2021,18:02,PAIN AU CHOCOLAT,1,1.2,1.2
151517,1/11/2021,18:06,PAIN AU CHOCOLAT,1,1.2,1.2
151518,1/11/2021,18:07,CAMPAGNE,1,1.8,1.8
151519,1/11/2021,18:16,FONDANT CHOCOLAT,2,2.5,5
151520,1/11/2021,18:22,COUPE,1,0.15,0.15
151521,1/11/2021,18:23,TRADITIONAL BAGUETTE,1,1.2,1.2
151521,1/11/2021,18:23,CHAUSSON AUX POMMES,1,1.4,1.4
151522,1/11/2021,18:32,COUPE,3,0.15,0.45
151522,1/11/2021,18:32,TRADITIONAL BAGUETTE,1,1.2,1.2
151528,1/11/2021,18:58,BANETTE,1,1.05,1.05
151529,1/11/2021,19:07,TRADITIONAL BAGUETTE,1,1.2,1.2
151532,1/11/2021,19:15,TRADITIONAL BAGUETTE,3,1.2,3.6
151533,1/11/2021,19:35,TRADITIONAL BAGUETTE,1,1.2,1.2
151535,1/11/2021,19:36,TRADITIONAL BAGUETTE,2,1.2,2.4
151536,1/11/2021,19:43,TRADITIONAL BAGUETTE,1,1.2,1.2
151537,1/11/2021,19:53,TRADITIONAL BAGUETTE,1,1.2,1.2
151539,1/12/2021,8:37,PAIN AU CHOCOLAT,1,1.2,1.2
151540,1/12/2021,8:44,PAIN AU CHOCOLAT,1,1.2,1.2
151540,1/12/2021,8:44,BAGUETTE,1,0.9,0.9
151542,1/12/2021,9:06,CROISSANT,2,1.1,2.2
151542,1/12/2021,9:06,COMPLET,1,1.5,1.5
151544,1/12/2021,9:08,PAIN AU CHOCOLAT,2,1.2,2.4
151546,1/12/2021,9:12,CAFE OU EAU,2,1,2
151547,1/12/2021,9:12,PAIN AU CHOCOLAT,1,1.2,1.2
151547,1/12/2021,9:12,CROISSANT,3,1.1,3.3
151549,1/12/2021,9:41,BANETTE,2,1.05,2.1
151550,1/12/2021,9:52,SPECIAL BREAD KG,1,4.8,4.8
151550,1/12/2021,9:52,CAMPAGNE,1,1.8,1.8
151550,1/12/2021,9:52,COUPE,1,0.15,0.15
151553,1/12/2021,10:14,BANETTE,1,1.05,1.05
151554,1/12/2021,10:15,TRADITIONAL BAGUETTE,1,1.2,1.2
151556,1/12/2021,10:23,TRADITIONAL BAGUETTE,1,1.2,1.2
151557,1/12/2021,10:29,BANETTE,1,1.05,1.05
151559,1/12/2021,10:42,TRADITIONAL BAGUETTE,2,1.2,2.4
151560,1/12/2021,10:44,TRADITIONAL BAGUETTE,1,1.2,1.2
151561,1/12/2021,10:50,COUPE,1,0.15,0.15
151562,1/12/2021,11:09,BAGUETTE,3,0.9,2.7
151563,1/12/2021,11:11,SANDWICH COMPLET,2,4.5,9
151565,1/12/2021,11:17,SPECIAL BREAD,1,2.4,2.4
151572,1/12/2021,11:32,PAIN CHOCO AMANDES,1,1.5,1.5
151572,1/12/2021,11:32,CHAUSSON AUX POMMES,1,1.4,1.4
151573,1/12/2021,11:34,BAGUETTE,2,0.9,1.8
151575,1/12/2021,11:38,BANETTINE,1,0.6,0.6
151577,1/12/2021,11:41,BANETTINE,1,0.6,0.6
151580,1/12/2021,11:45,PAIN AU CHOCOLAT,2,1.2,2.4
151580,1/12/2021,11:45,CROISSANT,2,1.1,2.2
151583,1/12/2021,11:49,BANETTE,1,1.05,1.05
151585,1/12/2021,11:56,SANDWICH COMPLET,1,4.5,4.5
151586,1/12/2021,11:58,COOKIE,5,1,5
151586,1/12/2021,11:58,CROISSANT,2,1.1,2.2
151587,1/12/2021,12:02,BANETTE,1,1.05,1.05
151588,1/12/2021,12:05,PAIN,1,1.15,1.15
151590,1/12/2021,12:08,TRADITIONAL BAGUETTE,1,1.2,1.2
151591,1/12/2021,12:08,BANETTE,1,1.05,1.05
151591,1/12/2021,12:08,BAGUETTE,1,0.9,0.9
151592,1/12/2021,12:10,COUPE,1,0.15,0.15
151592,1/12/2021,12:10,TRADITIONAL BAGUETTE,3,1.2,3.6
151594,1/12/2021,12:12,BANETTE,1,1.05,1.05
151595,1/12/2021,12:12,SPECIAL BREAD,1,2.4,2.4
151596,1/12/2021,12:16,TRADITIONAL BAGUETTE,1,1.2,1.2
151597,1/12/2021,12:20,BOULE 400G,1,1.5,1.5
151599,1/12/2021,12:27,TRADITIONAL BAGUETTE,2,1.2,2.4
151600,1/12/2021,12:28,BAGUETTE,1,0.9,0.9
151600,1/12/2021,12:28,TRADITIONAL BAGUETTE,1,1.2,1.2
151603,1/12/2021,12:33,BOULE 200G,1,1.1,1.1
151604,1/12/2021,12:37,DIVERS PATISSERIE,1,6,6
151605,1/12/2021,12:38,CAFE OU EAU,1,1,1
151606,1/12/2021,12:40,TRADITIONAL BAGUETTE,2,1.2,2.4
151608,1/12/2021,12:42,TRADITIONAL BAGUETTE,2,1.2,2.4
151611,1/12/2021,12:47,TRADITIONAL BAGUETTE,1,1.2,1.2
151615,1/12/2021,12:59,BANETTE,1,1.05,1.05
151618,1/12/2021,13:08,TRADITIONAL BAGUETTE,1,1.2,1.2
151619,1/12/2021,13:14,SPECIAL BREAD,1,2.4,2.4
151620,1/12/2021,13:14,TRADITIONAL BAGUETTE,1,1.2,1.2
151621,1/12/2021,13:15,FORMULE SANDWICH,1,6.5,6.5
151622,1/12/2021,13:18,DIVERS VIENNOISERIE,1,1,1
151622,1/12/2021,13:18,COUPE,1,0.15,0.15
151622,1/12/2021,13:18,KOUIGN AMANN,1,2.1,2.1
151622,1/12/2021,13:18,BOULE 400G,1,1.5,1.5
151622,1/12/2021,13:18,BAGUETTE,1,0.9,0.9
151623,1/12/2021,13:23,SAND JB EMMENTAL,1,3.5,3.5
151626,1/12/2021,13:31,FORMULE SANDWICH,1,6.5,6.5
151628,1/12/2021,13:41,SANDWICH COMPLET,1,4.5,4.5
151628,1/12/2021,13:41,SANDWICH COMPLET,1,4.5,4.5
151629,1/12/2021,13:43,BAGUETTE,1,0.9,0.9
151631,1/12/2021,13:58,PAIN,1,1.15,1.15
151632,1/12/2021,14:00,CEREAL BAGUETTE,1,1.25,1.25
151635,1/12/2021,17:35,DIVERS PATISSERIE,1,6,6
151636,1/12/2021,17:42,DIVERS PATISSERIE,1,6,6
151637,1/12/2021,17:45,CROISSANT,1,1.1,1.1
151638,1/12/2021,17:46,TRADITIONAL BAGUETTE,1,1.2,1.2
151639,1/12/2021,17:50,BANETTE,2,1.05,2.1
151640,1/12/2021,18:01,DIVERS PATISSERIE,1,6,6
151640,1/12/2021,18:01,DIVERS VIENNOISERIE,1,1,1
151643,1/12/2021,18:05,COMPLET,1,1.5,1.5
151643,1/12/2021,18:05,COUPE,1,0.15,0.15
151646,1/12/2021,18:21,TRADITIONAL BAGUETTE,3,1.2,3.6
151647,1/12/2021,18:22,BAGUETTE,1,0.9,0.9
151647,1/12/2021,18:22,PAIN AUX RAISINS,1,1.4,1.4
151648,1/12/2021,18:32,BOULE 400G,1,1.5,1.5
151649,1/12/2021,18:37,DEMI BAGUETTE,1,0.45,0.45
151650,1/12/2021,18:47,PAIN AU CHOCOLAT,1,1.2,1.2
151654,1/12/2021,19:40,TRADITIONAL BAGUETTE,1,1.2,1.2
151655,1/12/2021,19:45,TRADITIONAL BAGUETTE,1,1.2,1.2
151656,1/12/2021,19:48,TRADITIONAL BAGUETTE,1,1.2,1.2
151658,1/14/2021,8:38,CROISSANT,2,1.1,2.2
151661,1/14/2021,9:03,BAGUETTE,1,0.9,0.9
151662,1/14/2021,9:10,BAGUETTE,1,0.9,0.9
151663,1/14/2021,9:20,CAFE OU EAU,3,1,3
151664,1/14/2021,9:21,PAIN AU CHOCOLAT,3,1.2,3.6
151666,1/14/2021,9:26,NANTAIS,2,2.5,5
151666,1/14/2021,9:26,CROISSANT,4,1.1,4.4
151667,1/14/2021,9:33,BAGUETTE,1,0.9,0.9
151669,1/14/2021,9:39,DIVERS PATISSERIE,1,6,6
151670,1/14/2021,9:40,COUPE,1,0.15,0.15
151670,1/14/2021,9:40,PAIN AU CHOCOLAT,1,1.2,1.2
151670,1/14/2021,9:40,SPECIAL BREAD,1,2.4,2.4
151671,1/14/2021,9:42,TRADITIONAL BAGUETTE,2,1.2,2.4
151676,1/14/2021,9:49,CROISSANT,1,1.1,1.1
151676,1/14/2021,9:49,PAIN AU CHOCOLAT,1,1.2,1.2
151677,1/14/2021,9:52,TRADITIONAL BAGUETTE,1,1.2,1.2
151678,1/14/2021,9:56,COUPE,1,0.15,0.15
151679,1/14/2021,10:10,TRADITIONAL BAGUETTE,1,1.2,1.2
151680,1/14/2021,10:17,TRADITIONAL BAGUETTE,1,1.2,1.2
151681,1/14/2021,10:22,TRADITIONAL BAGUETTE,1,1.2,1.2
151682,1/14/2021,10:31,PAIN,1,1.15,1.15
151684,1/14/2021,10:47,CROISSANT,2,1.1,2.2
151685,1/14/2021,10:49,TRADITIONAL BAGUETTE,1,1.2,1.2
151686,1/14/2021,10:52,PAIN AU CHOCOLAT,1,1.2,1.2
151687,1/14/2021,10:54,CEREAL BAGUETTE,1,1.25,1.25
151689,1/14/2021,11:01,CROISSANT,2,1.1,2.2
151691,1/14/2021,11:11,DIVERS PATISSERIE,1,8,8
151691,1/14/2021,11:11,TRADITIONAL BAGUETTE,2,1.2,2.4
151693,1/14/2021,11:17,PAIN BANETTE,3,1.4,4.2
151694,1/14/2021,11:19,SPECIAL BREAD,1,2.4,2.4
151694,1/14/2021,11:19,COUPE,1,0.15,0.15
151695,1/14/2021,11:20,SEIGLE,1,1.8,1.8
151698,1/14/2021,11:29,BAGUETTE,1,0.9,0.9
151698,1/14/2021,11:29,COUPE,2,0.15,0.3
151698,1/14/2021,11:29,CAMPAGNE,2,1.8,3.6
151702,1/14/2021,11:49,MOISSON,1,2,2
151702,1/14/2021,11:49,TRADITIONAL BAGUETTE,1,1.2,1.2
151702,1/14/2021,11:49,CROISSANT,1,1.1,1.1
151702,1/14/2021,11:49,DIVERS PATISSERIE,1,8,8
151710,1/14/2021,12:08,PAIN BANETTE,1,1.4,1.4
151711,1/14/2021,12:08,TRADITIONAL BAGUETTE,1,1.2,1.2
151713,1/14/2021,12:12,SANDWICH COMPLET,1,4.5,4.5
151717,1/14/2021,12:16,COMPLET,1,1.5,1.5
151723,1/14/2021,12:32,BANETTE,1,1.05,1.05
151726,1/14/2021,12:45,SPECIAL BREAD,1,2.4,2.4
151731,1/14/2021,12:58,TRADITIONAL BAGUETTE,1,1.2,1.2
151732,1/14/2021,13:00,BOULE 200G,1,1.1,1.1
151734,1/14/2021,13:06,BAGUETTE,1,0.9,0.9
151738,1/14/2021,13:12,TRADITIONAL BAGUETTE,1,1.2,1.2
151738,1/14/2021,13:12,DIVERS PATISSERIE,1,8,8
151740,1/14/2021,13:13,DIVERS PATISSERIE,1,8,8
151740,1/14/2021,13:13,SPECIAL BREAD,1,2.4,2.4
151740,1/14/2021,13:13,COUPE,1,0.15,0.15
151743,1/14/2021,13:23,SANDWICH COMPLET,1,4.5,4.5
151744,1/14/2021,13:28,FORMULE SANDWICH,1,6.5,6.5
151747,1/14/2021,13:32,FORMULE SANDWICH,1,6.5,6.5
151748,1/14/2021,13:33,COUPE,1,0.15,0.15
151748,1/14/2021,13:33,MOISSON,1,2,2
151749,1/14/2021,13:35,COMPLET,1,1.5,1.5
151751,1/14/2021,13:40,BANETTE,1,1.05,1.05
151755,1/14/2021,13:47,BAGUETTE,8,0.9,7.2
151755,1/14/2021,13:47,BRIOCHE,1,5,5
151757,1/14/2021,13:49,TRADITIONAL BAGUETTE,1,1.2,1.2
151758,1/14/2021,13:54,SANDWICH COMPLET,2,4.5,9
151759,1/14/2021,13:56,SANDWICH COMPLET,1,4.5,4.5
151763,1/14/2021,17:28,COUPE,2,0.15,0.3
151763,1/14/2021,17:28,CAMPAGNE,2,1.8,3.6
151764,1/14/2021,17:36,TRADITIONAL BAGUETTE,1,1.2,1.2
151767,1/14/2021,17:54,COOKIE,1,1,1
151769,1/14/2021,18:00,PAIN AU CHOCOLAT,1,1.2,1.2
151769,1/14/2021,18:00,QUIM BREAD,1,1,1
151771,1/14/2021,18:05,KOUIGN AMANN,1,2.1,2.1
151772,1/14/2021,18:10,TRADITIONAL BAGUETTE,2,1.2,2.4
151774,1/14/2021,18:16,TRADITIONAL BAGUETTE,1,1.2,1.2
151775,1/14/2021,18:23,COUPE,1,0.15,0.15
151775,1/14/2021,18:23,SEIGLE,1,1.8,1.8
151776,1/14/2021,18:29,TRADITIONAL BAGUETTE,1,1.2,1.2
151778,1/14/2021,18:46,TRADITIONAL BAGUETTE,2,1.2,2.4
151780,1/14/2021,18:59,TRADITIONAL BAGUETTE,3,1.2,3.6
151782,1/14/2021,19:00,CROISSANT AMANDES,2,1.4,2.8
151784,1/14/2021,19:05,TRADITIONAL BAGUETTE,1,1.2,1.2
151786,1/14/2021,19:23,COUPE,1,0.15,0.15
151786,1/14/2021,19:23,MOISSON,1,2,2
151789,1/14/2021,19:37,TRADITIONAL BAGUETTE,2,1.2,2.4
151790,1/14/2021,19:39,BAGUETTE,1,0.9,0.9
151790,1/14/2021,19:39,PAIN BANETTE,1,1.4,1.4
151791,1/14/2021,19:47,DIVERS PATISSERIE,1,8,8
151794,1/15/2021,8:38,PAIN AU CHOCOLAT,2,1.2,2.4
151795,1/15/2021,8:39,CAFE OU EAU,1,1,1
151796,1/15/2021,8:40,BAGUETTE,1,0.9,0.9
151797,1/15/2021,8:41,PAIN AU CHOCOLAT,4,1.2,4.8
151798,1/15/2021,8:53,BAGUETTE,1,0.9,0.9
151798,1/15/2021,8:53,PAIN AU CHOCOLAT,1,1.2,1.2
151799,1/15/2021,8:53,CROISSANT AMANDES,1,1.4,1.4
151800,1/15/2021,9:01,BAGUETTE,1,0.9,0.9
151801,1/15/2021,9:10,DEMI BAGUETTE,1,0.45,0.45
151803,1/15/2021,9:19,BANETTINE,1,0.6,0.6
151804,1/15/2021,9:39,PAIN AUX RAISINS,2,1.4,2.8
151807,1/15/2021,9:53,COMPLET,3,1.5,4.5
151809,1/15/2021,10:00,GACHE,1,5,5
151810,1/15/2021,10:03,CROISSANT,20,1.1,22
151811,1/15/2021,10:03,CROISSANT,2,1.1,2.2
151811,1/15/2021,10:03,BANETTE,1,1.05,1.05
151812,1/15/2021,10:06,PAIN AU CHOCOLAT,1,1.2,1.2
151813,1/15/2021,10:10,DIVERS PATISSERIE,1,4,4
151813,1/15/2021,10:10,VIK BREAD,1,2.5,2.5
151817,1/15/2021,10:29,BANETTE,2,1.05,2.1
151820,1/15/2021,10:35,COUPE,1,0.15,0.15
151821,1/15/2021,10:38,BANETTE,1,1.05,1.05
151823,1/15/2021,10:55,TRADITIONAL BAGUETTE,4,1.2,4.8
151824,1/15/2021,10:56,BANETTE,1,1.05,1.05
151826,1/15/2021,11:11,SANDWICH COMPLET,1,4.5,4.5
151826,1/15/2021,11:11,CAFE OU EAU,1,1,1
151827,1/15/2021,11:20,TRADITIONAL BAGUETTE,1,1.2,1.2
151828,1/15/2021,11:27,COUPE,1,0.15,0.15
151828,1/15/2021,11:27,BOULE 400G,1,1.5,1.5
151829,1/15/2021,11:29,SPECIAL BREAD,1,2.4,2.4
151830,1/15/2021,11:30,FORMULE SANDWICH,1,6.5,6.5
151830,1/15/2021,11:30,QUIM BREAD,1,1,1
151832,1/15/2021,11:37,DIVERS PATISSERIE,1,8,8
151833,1/15/2021,11:43,BAGUETTE,2,0.9,1.8
151834,1/15/2021,11:45,BANETTE,3,1.05,3.15
151836,1/15/2021,11:48,TRADITIONAL BAGUETTE,1,1.2,1.2
151839,1/15/2021,12:01,TRADITIONAL BAGUETTE,1,1.2,1.2
151840,1/15/2021,12:04,BANETTE,1,1.05,1.05
151841,1/15/2021,12:05,COUPE,1,0.15,0.15
151843,1/15/2021,12:16,TRADITIONAL BAGUETTE,1,1.2,1.2
151844,1/15/2021,12:17,MOISSON,1,2,2
151844,1/15/2021,12:17,COUPE,1,0.15,0.15
151845,1/15/2021,12:27,TRADITIONAL BAGUETTE,1,1.2,1.2
151846,1/15/2021,12:31,COUPE,1,0.15,0.15
151850,1/15/2021,12:37,TRADITIONAL BAGUETTE,1,1.2,1.2
151851,1/15/2021,12:42,CROISSANT,4,1.1,4.4
151851,1/15/2021,12:42,SPECIAL BREAD,1,2.4,2.4
151851,1/15/2021,12:42,BAGUETTE,2,0.9,1.8
151851,1/15/2021,12:42,PAIN AU CHOCOLAT,4,1.2,4.8
151851,1/15/2021,12:42,TRADITIONAL BAGUETTE,2,1.2,2.4
151854,1/15/2021,12:51,CAMPAGNE,1,1.8,1.8
151854,1/15/2021,12:51,COUPE,1,0.15,0.15
151855,1/15/2021,12:55,TRADITIONAL BAGUETTE,1,1.2,1.2
151856,1/15/2021,12:57,MOISSON,1,2,2
151858,1/15/2021,13:00,TRADITIONAL BAGUETTE,3,1.2,3.6
151858,1/15/2021,13:00,CHAUSSON AUX POMMES,1,1.4,1.4
151861,1/15/2021,13:03,TRADITIONAL BAGUETTE,1,1.2,1.2
151863,1/15/2021,13:04,BANETTE,1,1.05,1.05
151865,1/15/2021,13:07,FORMULE SANDWICH,1,6.5,6.5
151866,1/15/2021,13:07,SANDWICH COMPLET,1,4.5,4.5
151867,1/15/2021,13:08,SPECIAL BREAD,1,2.4,2.4
151867,1/15/2021,13:08,SAND JB EMMENTAL,1,3.5,3.5
151868,1/15/2021,13:09,SPECIAL BREAD,1,2.4,2.4
151870,1/15/2021,13:21,TRADITIONAL BAGUETTE,1,1.2,1.2
151871,1/15/2021,13:26,CEREAL BAGUETTE,1,1.25,1.25
151873,1/15/2021,13:36,COUPE,1,0.15,0.15
151873,1/15/2021,13:36,VIK BREAD,1,2.5,2.5
151873,1/15/2021,13:36,SPECIAL BREAD KG,1,4.8,4.8
151873,1/15/2021,13:36,COMPLET,1,1.5,1.5
151875,1/15/2021,13:40,TRADITIONAL BAGUETTE,1,1.2,1.2
151878,1/15/2021,13:45,FORMULE SANDWICH,1,6.5,6.5
151880,1/15/2021,13:47,CAMPAGNE,1,1.8,1.8
151883,1/15/2021,13:53,COUPE,1,0.15,0.15
151885,1/15/2021,13:55,DIVERS SANDWICHS,1,4.5,4.5
151886,1/15/2021,13:56,BAGUETTE,1,0.9,0.9
151890,1/15/2021,13:59,COOKIE,2,1,2
151892,1/15/2021,14:07,SAND JB EMMENTAL,1,3.5,3.5
151895,1/15/2021,17:30,CAMPAGNE,2,1.8,3.6
151896,1/15/2021,17:36,COUPE,1,0.15,0.15
151896,1/15/2021,17:36,BANETTE,2,1.05,2.1
151899,1/15/2021,18:05,CROISSANT,1,1.1,1.1
151899,1/15/2021,18:05,TRADITIONAL BAGUETTE,2,1.2,2.4
151902,1/15/2021,18:16,TRADITIONAL BAGUETTE,3,1.2,3.6
151904,1/15/2021,18:26,TRADITIONAL BAGUETTE,1,1.2,1.2
151905,1/15/2021,18:29,PAIN BANETTE,1,1.4,1.4
151907,1/15/2021,18:32,PAIN AU CHOCOLAT,4,1.2,4.8
151908,1/15/2021,18:33,VIK BREAD,1,2.5,2.5
151910,1/15/2021,18:45,COUPE,2,0.15,0.3
151910,1/15/2021,18:45,MOISSON,2,2,4
151911,1/15/2021,18:49,BAGUETTE,3,0.9,2.7
151912,1/15/2021,18:50,TRADITIONAL BAGUETTE,1,1.2,1.2
151912,1/15/2021,18:50,PAIN CHOCO AMANDES,1,1.5,1.5
151913,1/15/2021,18:51,SPECIAL BREAD,1,2.4,2.4
151914,1/15/2021,19:02,BANETTE,2,1.05,2.1
151916,1/15/2021,19:03,BANETTE,1,1.05,1.05
151917,1/15/2021,19:08,TRADITIONAL BAGUETTE,1,1.2,1.2
151918,1/15/2021,19:13,COUPE,1,0.15,0.15
151921,1/15/2021,19:20,BAGUETTE,2,0.9,1.8
151922,1/15/2021,19:25,CEREAL BAGUETTE,1,1.25,1.25
151923,1/15/2021,19:37,TRADITIONAL BAGUETTE,1,1.2,1.2
151923,1/15/2021,19:37,BAGUETTE,1,0.9,0.9
151923,1/15/2021,19:37,DIVERS PATISSERIE,1,4,4
151925,1/15/2021,19:42,BOULE 400G,1,1.5,1.5
151925,1/15/2021,19:42,SEIGLE,1,1.8,1.8
151926,1/15/2021,19:45,TRADITIONAL BAGUETTE,2,1.2,2.4
151930,1/16/2021,8:33,TRADITIONAL BAGUETTE,1,1.2,1.2
151931,1/16/2021,8:35,BOULE 400G,1,1.5,1.5
151932,1/16/2021,8:44,PAIN AU CHOCOLAT,1,1.2,1.2
151933,1/16/2021,8:48,TRADITIONAL BAGUETTE,4,1.2,4.8
151934,1/16/2021,8:52,TRADITIONAL BAGUETTE,1,1.2,1.2
151935,1/16/2021,9:01,BANETTE,1,1.05,1.05
151937,1/16/2021,9:24,PAIN AU CHOCOLAT,1,1.2,1.2
151937,1/16/2021,9:24,BANETTE,2,1.05,2.1
151939,1/16/2021,9:37,MOISSON,1,2,2
151939,1/16/2021,9:37,COUPE,1,0.15,0.15
151942,1/16/2021,9:51,TRADITIONAL BAGUETTE,3,1.2,3.6
151944,1/16/2021,9:58,CROISSANT,2,1.1,2.2
151944,1/16/2021,9:58,PAIN AU CHOCOLAT,2,1.2,2.4
151947,1/16/2021,10:09,PAIN AU CHOCOLAT,3,1.2,3.6
151950,1/16/2021,10:16,BANETTINE,1,0.6,0.6
151950,1/16/2021,10:16,TRADITIONAL BAGUETTE,1,1.2,1.2
151951,1/16/2021,10:20,CHAUSSON AUX POMMES,2,1.4,2.8
151951,1/16/2021,10:20,GAL POMME 4P,1,8,8
151951,1/16/2021,10:20,COMPLET,1,1.5,1.5
151953,1/16/2021,10:21,PAIN AU CHOCOLAT,1,1.2,1.2
151954,1/16/2021,10:22,TRADITIONAL BAGUETTE,1,1.2,1.2
151956,1/16/2021,10:26,COUPE,1,0.15,0.15
151957,1/16/2021,10:29,COUPE,1,0.15,0.15
151959,1/16/2021,10:33,TRADITIONAL BAGUETTE,1,1.2,1.2
151960,1/16/2021,10:35,BANETTE,1,1.05,1.05
151961,1/16/2021,10:36,BAGUETTE,1,0.9,0.9
151962,1/16/2021,10:45,GAL FRANGIPANE 4P,1,8,8
151963,1/16/2021,10:46,BOULE 200G,1,1.1,1.1
151964,1/16/2021,10:47,BAGUETTE,1,0.9,0.9
151965,1/16/2021,10:47,BANETTINE,1,0.6,0.6
151965,1/16/2021,10:47,BANETTE,2,1.05,2.1
151966,1/16/2021,10:52,COUPE,1,0.15,0.15
151966,1/16/2021,10:52,CAMPAGNE,1,1.8,1.8
151968,1/16/2021,10:57,CROISSANT,2,1.1,2.2
151971,1/16/2021,11:01,GAL FRANGIPANE 4P,1,8,8
151971,1/16/2021,11:01,MOISSON,1,2,2
151972,1/16/2021,11:04,PAIN BANETTE,1,1.4,1.4
151974,1/16/2021,11:13,COUPE,1,0.15,0.15
151976,1/16/2021,11:21,COUPE,1,0.15,0.15
151976,1/16/2021,11:21,TRADITIONAL BAGUETTE,1,1.2,1.2
151978,1/16/2021,11:23,COUPE,2,0.15,0.3
151978,1/16/2021,11:23,SPECIAL BREAD,2,2.4,4.8
151978,1/16/2021,11:23,BANETTE,1,1.05,1.05
151979,1/16/2021,11:26,KOUIGN AMANN,1,2.1,2.1
151980,1/16/2021,11:26,BANETTE,2,1.05,2.1
151981,1/16/2021,11:28,CROISSANT,2,1.1,2.2
151981,1/16/2021,11:28,VIK BREAD,1,2.5,2.5
151981,1/16/2021,11:28,TRADITIONAL BAGUETTE,1,1.2,1.2
151981,1/16/2021,11:28,COOKIE,1,1,1
151983,1/16/2021,11:36,BRIOCHE,2,5,10
151986,1/16/2021,11:41,GAL FRANGIPANE 4P,1,8,8
151988,1/16/2021,11:43,COUPE,2,0.15,0.3
151989,1/16/2021,11:44,GAL FRANGIPANE 6P,1,12,12
151989,1/16/2021,11:44,BANETTE,1,1.05,1.05
151990,1/16/2021,11:46,TRADITIONAL BAGUETTE,1,1.2,1.2
151991,1/16/2021,11:46,VIK BREAD,1,2.5,2.5
151991,1/16/2021,11:46,TRADITIONAL BAGUETTE,1,1.2,1.2
151995,1/16/2021,11:56,COUPE,1,0.15,0.15
151996,1/16/2021,11:57,TRADITIONAL BAGUETTE,1,1.2,1.2
151997,1/16/2021,11:58,PAIN AU CHOCOLAT,2,1.2,2.4
151997,1/16/2021,11:58,TRADITIONAL BAGUETTE,1,1.2,1.2
151998,1/16/2021,11:59,TRADITIONAL BAGUETTE,1,1.2,1.2
151999,1/16/2021,11:59,TRADITIONAL BAGUETTE,1,1.2,1.2
151999,1/16/2021,11:59,CROISSANT,2,1.1,2.2
152004,1/16/2021,12:05,BANETTINE,1,0.6,0.6
152007,1/16/2021,12:09,COOKIE,1,1,1
152008,1/16/2021,12:13,COOKIE,1,1,1
152008,1/16/2021,12:13,PAIN AU CHOCOLAT,1,1.2,1.2
152009,1/16/2021,12:16,CROISSANT,2,1.1,2.2
152009,1/16/2021,12:16,CAMPAGNE,1,1.8,1.8
152013,1/16/2021,12:24,DIVERS VIENNOISERIE,1,6,6
152014,1/16/2021,12:30,TRADITIONAL BAGUETTE,1,1.2,1.2
152015,1/16/2021,12:32,BANETTE,1,1.05,1.05
152015,1/16/2021,12:32,VIK BREAD,2,2.5,5
152016,1/16/2021,12:34,BAGUETTE,2,0.9,1.8
152016,1/16/2021,12:34,COMPLET,1,1.5,1.5
152019,1/16/2021,12:41,COUPE,1,0.15,0.15
152019,1/16/2021,12:41,BOULE POLKA,1,1.6,1.6
152020,1/16/2021,12:45,CAMPAGNE,1,1.8,1.8
152020,1/16/2021,12:45,COUPE,1,0.15,0.15
152021,1/16/2021,12:45,TRADITIONAL BAGUETTE,1,1.2,1.2
152021,1/16/2021,12:45,DEMI BAGUETTE,1,0.45,0.45
152023,1/16/2021,12:47,CROISSANT,2,1.1,2.2
152024,1/16/2021,12:49,TRADITIONAL BAGUETTE,2,1.2,2.4
152024,1/16/2021,12:49,COMPLET,1,1.5,1.5
152026,1/16/2021,12:52,TRADITIONAL BAGUETTE,2,1.2,2.4
152027,1/16/2021,12:55,CEREAL BAGUETTE,2,1.25,2.5
152029,1/16/2021,12:58,PAIN BANETTE,1,1.4,1.4
152029,1/16/2021,12:58,CHAUSSON AUX POMMES,1,1.4,1.4
152033,1/16/2021,13:09,TRADITIONAL BAGUETTE,1,1.2,1.2
152034,1/16/2021,13:12,BOULE 400G,1,1.5,1.5
152035,1/16/2021,13:15,GAL FRANGIPANE 6P,1,12,12
152038,1/16/2021,13:20,QUIM BREAD,1,1,1
152039,1/16/2021,13:21,TRADITIONAL BAGUETTE,1,1.2,1.2
152040,1/16/2021,13:22,TRADITIONAL BAGUETTE,1,1.2,1.2
152042,1/16/2021,13:28,QUIM BREAD,1,1,1
152044,1/16/2021,13:30,PAIN AU CHOCOLAT,1,1.2,1.2
152045,1/16/2021,13:33,TRADITIONAL BAGUETTE,1,1.2,1.2
152047,1/16/2021,13:38,PAIN BANETTE,1,1.4,1.4
152048,1/16/2021,13:39,NANTAIS,1,2.5,2.5
152051,1/16/2021,13:44,CROISSANT,1,1.1,1.1
152052,1/16/2021,13:55,GAL POMME 4P,1,8,8
152055,1/16/2021,13:57,GAL FRANGIPANE 6P,1,12,12
152056,1/16/2021,13:58,TRADITIONAL BAGUETTE,1,1.2,1.2
152057,1/16/2021,13:58,TRADITIONAL BAGUETTE,1,1.2,1.2
152058,1/16/2021,14:01,TRADITIONAL BAGUETTE,1,1.2,1.2
152059,1/16/2021,14:01,PAIN,1,1.15,1.15
152062,1/16/2021,17:11,PAIN CHOCO AMANDES,1,1.5,1.5
152062,1/16/2021,17:11,PAIN BANETTE,1,1.4,1.4
152063,1/16/2021,17:17,BAGUETTE,1,0.9,0.9
